iter	Passed	Remaining
0	1	151
1	3	149
2	4	157
3	6	151
4	8	159
5	10	164
6	12	166
7	14	161
8	15	153
9	16	148
10	18	146
11	19	142
12	21	140
13	22	138
14	23	135
15	25	135
16	27	133
17	28	131
18	30	129
19	32	128
20	33	125
21	34	123
22	35	119
23	37	117
24	38	116
25	40	114
26	42	115
27	44	115
28	46	113
29	48	112
30	49	109
31	50	107
32	53	107
33	55	107
34	57	106
35	58	104
36	60	103
37	62	102
38	64	100
39	66	99
40	68	98
41	69	95
42	71	94
43	73	93
44	75	91
45	77	90
46	79	89
47	81	88
48	83	86
49	85	85
50	86	83
51	88	81
52	90	79
53	92	78
54	93	76
55	95	74
56	97	73
57	98	71
58	100	69
59	102	68
60	103	66
61	105	64
62	107	63
63	109	61
64	110	59
65	112	58
66	114	56
67	116	54
68	118	53
69	120	51
70	122	49
71	124	48
72	125	46
73	127	44
74	129	43
75	130	41
76	132	39
77	134	37
78	135	36
79	137	34
80	138	32
81	140	30
82	141	29
83	143	27
84	144	25
85	145	23
86	147	22
87	149	20
88	150	18
89	151	16
90	153	15
91	155	13
92	156	11
93	157	10
94	159	8
95	161	6
96	162	5
97	163	3
98	165	1
99	166	0
